time_slot,temperature_index,light_index,rain_flag
06:00-06:10,0.082,0.0,FALSE
06:10-06:20,0.084,0.073,FALSE
06:20-06:30,0.08,0.146,FALSE
06:30-06:40,0.086,0.221,FALSE
06:40-06:50,0.084,0.301,FALSE
06:50-07:00,0.083,0.386,FALSE
07:00-07:10,0.083,0.447,FALSE
07:10-07:20,0.084,0.527,FALSE
07:20-07:30,0.083,0.59,FALSE
07:30-07:40,0.083,0.664,FALSE
07:40-07:50,0.085,0.728,FALSE
07:50-08:00,0.085,0.825,FALSE
08:00-08:10,0.084,1.0,FALSE
08:10-08:20,0.084,0.995,FALSE
08:20-08:30,0.085,1.0,FALSE
08:30-08:40,0.084,1.0,FALSE
08:40-08:50,0.086,0.999,FALSE
08:50-09:00,0.089,1.0,FALSE
09:00-09:10,0.089,1.0,FALSE
09:10-09:20,0.09,1.0,FALSE
09:20-09:30,0.095,0.988,FALSE
09:30-09:40,0.101,0.966,FALSE
09:40-09:50,0.105,1.0,FALSE
09:50-10:00,0.113,0.991,FALSE
10:00-10:10,0.124,1.0,FALSE
10:10-10:20,0.139,1.0,FALSE
10:20-10:30,0.147,0.983,FALSE
10:30-10:40,0.171,1.0,FALSE
10:40-10:50,0.183,1.0,FALSE
10:50-11:00,0.213,1.0,FALSE
11:00-11:10,0.236,1.0,FALSE
11:10-11:20,0.284,0.993,FALSE
11:20-11:30,0.32,0.99,FALSE
11:30-11:40,0.366,1.0,FALSE
11:40-11:50,0.399,1.0,FALSE
11:50-12:00,0.465,1.0,FALSE
12:00-12:10,0.509,1.0,FALSE
12:10-12:20,0.467,0.85,TRUE
12:20-12:30,0.539,0.846,TRUE
12:30-12:40,0.606,0.834,TRUE
12:40-12:50,0.757,0.969,FALSE
12:50-13:00,0.802,0.983,FALSE
13:00-13:10,0.853,1.0,FALSE
13:10-13:20,0.943,0.978,FALSE
13:20-13:30,0.97,0.993,FALSE
13:30-13:40,1.0,1.0,FALSE
13:40-13:50,1.0,1.0,FALSE
13:50-14:00,0.984,1.0,FALSE
14:00-14:10,1.0,0.985,FALSE
14:10-14:20,1.0,0.963,FALSE
14:20-14:30,1.0,1.0,FALSE
14:30-14:40,1.0,0.979,FALSE
14:40-14:50,0.946,1.0,FALSE
14:50-15:00,0.934,1.0,FALSE
15:00-15:10,0.859,0.986,FALSE
15:10-15:20,0.812,1.0,FALSE
15:20-15:30,0.75,1.0,FALSE
15:30-15:40,0.698,1.0,FALSE
15:40-15:50,0.649,1.0,FALSE
15:50-16:00,0.566,1.0,FALSE
16:00-16:10,0.504,0.984,FALSE
16:10-16:20,0.449,0.996,FALSE
16:20-16:30,0.398,0.998,FALSE
16:30-16:40,0.348,0.987,FALSE
16:40-16:50,0.309,0.974,FALSE
16:50-17:00,0.283,0.904,FALSE
17:00-17:10,0.239,0.88,FALSE
17:10-17:20,0.214,0.819,FALSE
17:20-17:30,0.183,0.816,FALSE
17:30-17:40,0.167,0.78,FALSE
17:40-17:50,0.144,0.74,FALSE
17:50-18:00,0.132,0.726,FALSE
18:00-18:10,0.128,0.666,FALSE
18:10-18:20,0.112,0.61,FALSE
18:20-18:30,0.108,0.604,FALSE
18:30-18:40,0.101,0.535,FALSE
18:40-18:50,0.095,0.511,FALSE
18:50-19:00,0.091,0.472,FALSE
19:00-19:10,0.0,0.273,TRUE
19:10-19:20,0.0,0.249,TRUE
19:20-19:30,0.089,0.354,FALSE
19:30-19:40,0.084,0.317,FALSE
19:40-19:50,0.085,0.273,FALSE
19:50-20:00,0.085,0.243,FALSE
20:00-20:10,0.085,0.197,FALSE
20:10-20:20,0.082,0.195,FALSE
20:20-20:30,0.082,0.204,FALSE
20:30-20:40,0.083,0.199,FALSE
20:40-20:50,0.082,0.2,FALSE
20:50-21:00,0.084,0.206,FALSE
