facility_id,facility_type,shape,x_center_px,y_center_px,x_center_m,y_center_m,size1_px,size2_px,size1_m,size2_m
F03_Trash-Bin_09,trash_bin,circle,519.727,283.492,83.15632,45.358720000000005,5.0,5.0,0.8,0.8
F03_Trash-Bin_08,trash_bin,circle,692.0,308.0,110.72,49.28,5.0,5.0,0.8,0.8
F03_Trash-Bin_07,trash_bin,circle,751.727,416.492,120.27632,66.63872,5.0,5.0,0.8,0.8
F03_Trash-Bin_06,trash_bin,circle,715.727,529.492,114.51632,84.71871999999999,5.0,5.0,0.8,0.8
F03_Trash-Bin_05,trash_bin,circle,588.0,584.0,94.08,93.44,5.0,5.0,0.8,0.8
F03_Trash-Bin_04,trash_bin,circle,431.0,445.0,68.96000000000001,71.2,5.0,5.0,0.8,0.8
F03_Trash-Bin_03,trash_bin,circle,274.727,385.492,43.95632,61.678720000000006,5.0,5.0,0.8,0.8
F03_Trash-Bin_02,trash_bin,circle,335.727,199.492,53.716319999999996,31.91872,5.0,5.0,0.8,0.8
F03_Trash-Bin_01,trash_bin,circle,280.727,652.492,44.91632,104.39872,5.0,5.0,0.8,0.8
F02_Lightning_32,lighting,circle,430.727,583.492,68.91632,93.35871999999999,5.0,5.0,0.8,0.8
F02_Lightning_31,lighting,circle,385.0,479.0,61.6,76.64,5.0,5.0,0.8,0.8
F02_Lightning_30,lighting,circle,362.727,356.492,58.036319999999996,57.038720000000005,5.0,5.0,0.8,0.8
F02_Lightning_29,lighting,circle,408.727,318.492,65.39632,50.95872000000001,5.0,5.0,0.8,0.8
F02_Lightning_28,lighting,circle,273.727,696.492,43.796319999999994,111.43871999999999,5.0,5.0,0.8,0.8
F02_Lightning_27,lighting,circle,249.727,626.492,39.95632,100.23872,5.0,5.0,0.8,0.8
F02_Lightning_26,lighting,circle,223.727,512.492,35.79632,81.99871999999999,5.0,5.0,0.8,0.8
F02_Lightning_25,lighting,circle,200.727,395.492,32.11632,63.27872000000001,5.0,5.0,0.8,0.8
F02_Lightning_24,lighting,circle,184.727,318.492,29.55632,50.95872000000001,5.0,5.0,0.8,0.8
F02_Lightning_23,lighting,circle,156.727,189.492,25.076320000000003,30.31872,5.0,5.0,0.8,0.8
F02_Lightning_22,lighting,circle,161.727,113.492,25.87632,18.158720000000002,5.0,5.0,0.8,0.8
F02_Lightning_21,lighting,circle,244.727,104.492,39.15632,16.71872,5.0,5.0,0.8,0.8
F02_Lightning_20,lighting,circle,314.0,109.0,50.24,17.44,5.0,5.0,0.8,0.8
F02_Lightning_19,lighting,circle,418.0,118.0,66.88,18.88,5.0,5.0,0.8,0.8
F02_Lightning_18,lighting,circle,519.0,126.0,83.04,20.16,5.0,5.0,0.8,0.8
F02_Lightning_17,lighting,circle,529.727,242.492,84.75632,38.798719999999996,5.0,5.0,0.8,0.8
F02_Lightning_16,lighting,circle,606.0,149.0,96.96000000000001,23.84,5.0,5.0,0.8,0.8
F02_Lightning_15,lighting,circle,612.727,235.492,98.03632,37.67872,5.0,5.0,0.8,0.8
F02_Lightning_14,lighting,circle,768.0,181.0,122.88,28.96,5.0,5.0,0.8,0.8
F02_Lightning_13,lighting,circle,746.0,313.0,119.36,50.08,5.0,5.0,0.8,0.8
F02_Lightning_12,lighting,circle,833.727,313.492,133.39632,50.15872,5.0,5.0,0.8,0.8
F02_Lightning_11,lighting,circle,847.727,416.492,135.63632,66.63872,5.0,5.0,0.8,0.8
F02_Lightning_10,lighting,circle,794.0,483.0,127.04,77.28,5.0,5.0,0.8,0.8
F02_Lightning_09,lighting,circle,860.727,502.492,137.71632,80.39872000000001,5.0,5.0,0.8,0.8
F02_Lightning_08,lighting,circle,871.727,584.492,139.47632,93.51872,5.0,5.0,0.8,0.8
F02_Lightning_07,lighting,circle,865.727,648.492,138.51632,103.75872,5.0,5.0,0.8,0.8
F02_Lightning_06,lighting,circle,790.727,671.492,126.51632,107.43871999999999,5.0,5.0,0.8,0.8
F02_Lightning_05,lighting,circle,705.727,599.492,112.91632,95.91872,5.0,5.0,0.8,0.8
F02_Lightning_04,lighting,circle,666.0,688.0,106.56,110.08,5.0,5.0,0.8,0.8
F02_Lightning_03,lighting,circle,547.0,653.0,87.52,104.48,5.0,5.0,0.8,0.8
F02_Lightning_02,lighting,circle,492.727,693.492,78.83632,110.95872,5.0,5.0,0.8,0.8
F02_Lightning_01,lighting,circle,375.727,699.492,60.116319999999995,111.91872,5.0,5.0,0.8,0.8
F01_Tree_41,tree,circle,602.727,280.492,96.43632,44.87872,20.0,20.0,3.2,3.2
F01_Tree_40,tree,circle,405.0,269.0,64.8,43.04,18.0,18.0,2.88,2.88
F01_Tree_39,tree,circle,362.727,436.492,58.036319999999996,69.83872000000001,30.0,30.0,4.8,4.8
F01_Tree_38,tree,circle,231.727,431.492,37.07632,69.03872,30.0,30.0,4.8,4.8
F01_Tree_37,tree,circle,275.727,206.492,44.116319999999995,33.03872,30.0,30.0,4.8,4.8
F01_Tree_36,tree,circle,186.727,158.492,29.87632,25.358719999999998,30.0,30.0,4.8,4.8
F01_Tree_35,tree,circle,643.0,161.0,102.88,25.76,30.0,30.0,4.8,4.8
F01_Tree_34,tree,circle,498.0,548.0,79.68,87.68,30.0,30.0,4.8,4.8
F01_Tree_33,tree,circle,838.727,466.492,134.19632,74.63872,30.0,30.0,4.8,4.8
F01_Tree_32,tree,circle,827.727,652.492,132.43632,104.39872,30.0,30.0,4.8,4.8
F01_Tree_31,tree,circle,466.0,632.0,74.56,101.12,30.0,30.0,4.8,4.8
F01_Tree_30,tree,circle,231.5,752.5,37.04,120.4,25.5,25.5,4.08,4.08
F01_Tree_29,tree,circle,189.0,696.0,30.240000000000002,111.36,30.0,30.0,4.8,4.8
F01_Tree_28,tree,circle,176.0,623.0,28.16,99.68,30.0,30.0,4.8,4.8
F01_Tree_27,tree,circle,159.0,553.0,25.44,88.48,30.0,30.0,4.8,4.8
F01_Tree_26,tree,circle,137.0,431.0,21.92,68.96000000000001,30.0,30.0,4.8,4.8
F01_Tree_25,tree,circle,121.0,355.0,19.36,56.800000000000004,30.0,30.0,4.8,4.8
F01_Tree_24,tree,circle,109.0,288.0,17.44,46.08,30.0,30.0,4.8,4.8
F01_Tree_22,tree,circle,79.0,148.0,12.64,23.68,30.0,30.0,4.8,4.8
F01_Tree_21,tree,circle,109.0,61.0,17.44,9.76,30.0,30.0,4.8,4.8
F01_Tree_20,tree,circle,250.5,43.5,40.08,6.96,25.5,25.5,4.08,4.08
F01_Tree_19,tree,circle,372.0,48.0,59.52,7.68,30.0,30.0,4.8,4.8
F01_Tree_18,tree,circle,458.0,56.0,73.28,8.96,30.0,30.0,4.8,4.8
