node_id,x_px,y_px,x_m,y_m
N001,457.585,577.178,73.2136,92.34848
N002,396.585,652.527,63.4536,104.40432000000001
N003,310.745,463.035,49.7192,74.0856
N004,196.5,490.5,31.44,78.48
N005,181.0,494.0,28.96,79.04
N006,400.278,494.527,64.04448000000001,79.12432
N007,416.357,531.535,66.61712,85.0456
N008,413.857,448.535,66.21712000000001,71.7656
N009,404.085,382.027,64.6536,61.12432
N010,320.651,508.5,51.30416,81.36
N011,770.245,404.527,123.2392,64.72432
N012,868.01,387.0,138.8816,61.92
N013,883.0,385.0,141.28,61.6
N014,758.5,370.5,121.36,59.28
N015,773.5,447.0,123.76,71.52
N016,297.585,402.635,47.6136,64.4216
N017,289.585,365.527,46.3336,58.48432
N018,424.085,336.027,67.8536,53.76432
N019,445.971,312.281,71.35536,49.964960000000005
N020,373.0,273.231,59.68,43.71696
N021,365.085,214.027,58.413599999999995,34.24432
N022,365.085,245.527,58.413599999999995,39.28432
N023,350.085,168.027,56.0136,26.88432
N024,274.585,162.027,43.9336,25.924319999999998
N025,236.085,172.027,37.7736,27.52432
N026,215.357,205.535,34.45712,32.8856
N027,140.757,216.0,22.52112,34.56
N028,125.5,219.0,20.080000000000002,35.04
N029,274.585,131.0,43.9336,20.96
N030,745.584,336.027,119.29343999999999,53.76432
N031,698.857,284.535,111.81712,45.525600000000004
N032,795.857,288.035,127.33712,46.08560000000001
N033,783.357,275.535,125.33712,44.08560000000001
N034,467.857,288.535,74.85712000000001,46.165600000000005
N035,533.585,259.027,85.37360000000001,41.44432
N036,583.0,256.46,93.28,41.0336
N037,455.0,270.0,72.8,43.2
N038,714.357,268.035,114.29711999999999,42.885600000000004
N039,658.0,271.001,105.28,43.36016
N040,604.0,604.468,96.64,96.71488
N041,669.585,595.527,107.1336,95.28432000000001
N042,692.084,580.027,110.73343999999999,92.80432
N043,597.0,538.501,95.52,86.16016
N044,528.0,604.468,84.48,96.71488
N045,605.0,625.5,96.8,100.08
N046,738.5,533.5,118.16,85.36
N047,765.0,556.0,122.4,88.96000000000001
N048,765.5,502.5,122.48,80.4
N049,327.085,538.027,52.3336,86.08432
N050,400.0,723.202,64.0,115.71232
N051,400.5,738.0,64.08,118.08
N052,319.5,667.5,51.120000000000005,106.8
N053,321.0,696.5,51.36,111.44
N054,458.5,673.0,73.36,107.68
N055,688.084,632.027,110.09343999999999,101.12432000000001
N056,743.584,595.527,118.97344,95.28432000000001
N057,743.584,607.027,118.97344,97.12432000000001
N058,430.585,563.027,68.89359999999999,90.08432
N059,491.857,595.527,78.69712000000001,95.28432000000001
N060,432.0,525.5,69.12,84.08
N061,525.0,625.0,84.0,100.0
N062,250.0,522.0,40.0,83.52
N063,263.0,582.0,42.08,93.12
N064,248.0,585.0,39.68,93.60000000000001
N065,357.0,277.5,57.120000000000005,44.4
N066,429.0,252.0,68.64,40.32
N067,429.0,243.0,68.64,38.88
N068,481.0,252.0,76.96000000000001,40.32
N069,481.0,246.5,76.96000000000001,39.44
N070,458.0,322.0,73.28,51.52
N071,610.584,255.027,97.69344,40.80432
N072,644.0,266.001,103.04,42.560159999999996
N073,589.5,190.001,94.32000000000001,30.40016
N074,598.5,96.5006,95.76,15.440096
N075,597.0,111.047,95.52,17.76752
N076,548.5,187.001,87.76,29.920160000000003
N077,653.0,285.001,104.48,45.600159999999995
N078,744.0,376.0,119.04,60.160000000000004
N079,792.0,354.5,126.72,56.72
N080,825.0,350.5,132.0,56.08
N081,776.084,489.527,124.17344,78.32432
N082,788.5,446.0,126.16,71.36
N083,776.5,512.0,124.24000000000001,81.92
N084,459.0,688.0,73.44,110.08
N085,525.5,669.0,84.08,107.04
N086,526.0,679.054,84.16,108.64864
N087,571.5,540.0,91.44,86.4
N088,616.5,536.5,98.64,85.84
N089,632.0,531.0,101.12,84.96000000000001
N090,651.5,517.5,104.24000000000001,82.8
N091,668.0,500.0,106.88,80.0
N092,680.0,481.5,108.8,77.04
N093,687.5,464.0,110.0,74.24
N094,691.0,445.0,110.56,71.2
N095,690.0,423.0,110.4,67.68
N096,686.0,402.0,109.76,64.32000000000001
N097,677.0,381.0,108.32000000000001,60.96
N098,662.5,361.0,106.0,57.76
N099,645.0,346.0,103.2,55.36
N100,624.5,335.0,99.92,53.6
N101,602.0,329.0,96.32000000000001,52.64
N102,582.5,326.5,93.2,52.24
N103,560.0,329.0,89.60000000000001,52.64
N104,538.5,335.5,86.16,53.68
N105,521.0,346.0,83.36,55.36
N106,505.5,360.0,80.88,57.6
N107,491.0,378.5,78.56,60.56
N108,480.0,401.0,76.8,64.16
N109,474.5,424.5,75.92,67.92
N110,478.5,468.0,76.56,74.88
N111,487.0,487.5,77.92,78.0
N112,500.0,505.5,80.0,80.88
N113,515.5,521.0,82.48,83.36
N114,533.0,531.5,85.28,85.04
N115,552.5,538.5,88.4,86.16
N116,121.87,122.992,19.499200000000002,19.678720000000002
N117,164.186,77.4917,26.26976,12.398672
N118,743.186,122.992,118.90976,19.678720000000002
N119,848.686,229.492,135.78976,36.71872
N120,901.686,661.492,144.26976000000002,105.83872
N121,864.686,696.492,138.34976,111.43871999999999
N122,273.186,730.492,43.709759999999996,116.87872
N123,241.5,708.5,38.64,113.36
